state_abv,county,family,total_budget_avg,asian_hourly,white_hourly,black_hourly,hispanic_hourly
AK,Lake and Peninsula Borough,2p3c,116112.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,2p4c,129828.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,1p0c,49200.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,1p1c,76428.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,1p2c,99324.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,1p3c,126480.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,1p4c,139044.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,2p0c,66132.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,2p1c,90552.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,2p2c,111792.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,2p3c,135708.0,29.87,25.97,20.11,19.93
AK,Matanuska-Susitna Borough,2p4c,149148.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,1p0c,50760.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,1p1c,77328.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,1p2c,100152.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,1p3c,129768.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,1p4c,142680.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,2p0c,65388.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,2p1c,91380.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,2p2c,112404.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,2p3c,139512.0,29.87,25.97,20.11,19.93
AK,Nome Census Area,2p4c,153384.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,1p0c,49824.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,1p1c,82860.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,1p2c,106212.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,1p3c,130080.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,1p4c,143088.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,2p0c,67476.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,2p1c,96288.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,2p2c,117516.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,2p3c,140136.0,29.87,25.97,20.11,19.93
AK,North Slope Borough,2p4c,153624.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,1p0c,49608.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,1p1c,82032.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,1p2c,105300.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,1p3c,133428.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,1p4c,146340.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,2p0c,66852.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,2p1c,95316.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,2p2c,116448.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,2p3c,143220.0,29.87,25.97,20.11,19.93
AK,Northwest Arctic Borough,2p4c,156672.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,1p0c,50124.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,1p1c,79332.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,1p2c,101820.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,1p3c,123168.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,1p4c,136932.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,2p0c,67908.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,2p1c,93312.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,2p2c,113076.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,2p3c,133332.0,29.87,25.97,20.11,19.93
AK,Petersburg Borough,2p4c,146832.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,1p0c,47988.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,1p1c,74616.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,1p2c,95832.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,1p3c,117468.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,1p4c,131280.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,2p0c,67188.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,2p1c,88752.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,2p2c,107076.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,2p3c,127428.0,29.87,25.97,20.11,19.93
AK,Prince of Wales-Hyder Census Area,2p4c,140736.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,1p0c,50652.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,1p1c,78876.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,1p2c,101220.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,1p3c,128520.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,1p4c,142140.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,2p0c,69792.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,2p1c,92928.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,2p2c,112620.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,2p3c,138816.0,29.87,25.97,20.11,19.93
AK,Sitka City and Borough,2p4c,152220.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,1p0c,52128.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,1p1c,81828.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,1p2c,104220.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,1p3c,125808.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,1p4c,139200.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,2p0c,69384.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,2p1c,95040.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,2p2c,114900.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,2p3c,135516.0,29.87,25.97,20.11,19.93
AK,Skagway Municipality,2p4c,148764.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,1p0c,49968.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,1p1c,79032.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,1p2c,101472.0,29.87,25.97,20.11,19.93
